exit_status,runid,read_id,filename,barcode,accuracy,identity,model,name,start,end,coverage,URL,categories,seq_id,seq_len,taxon,taxon_id,cluster_id
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,b154d985-7c05-40fa-8dda-6e0bc40ba721,highQuality-reads100_batch5_57.fastq,none,84.82,92.22,rRNA mutation model,Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin,7,449,28.627,https://card.mcmaster.ca/ontology/40099,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2343,1544,Neisseria meningitidis,487,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,fb1e7bfe-d347-4fcc-8d31-0315973abc44,highQuality-reads100_batch5_57.fastq,none,82.71,89.02,rRNA mutation model,Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A,96,1433,99.551,https://card.mcmaster.ca/ontology/40144,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2351,1528,Mycobacterium smegmatis str. MC2 155,246196,146
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,588f4dd0-da83-4bbc-8948-e0a76f27fe32,highQuality-reads100_batch5_57.fastq,none,74.23,79.75,protein variant model,Staphylococcus aureus rpoC conferring resistance to daptomycin,729,1383,18.041,https://card.mcmaster.ca/ontology/39875,lipopeptide antibiotic resistance gene. antibiotic resistant gene variant or mutant,2196,3625,Staphylococcus aureus subsp. aureus MRSA252,282458,5
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,562b38a7-2d4d-471c-b360-a7d94c5a5aba,highQuality-reads100_batch5_57.fastq,none,83.52,89.34,rRNA mutation model,Mycobacterium abscessus 16S rRNA mutation conferring resistance to amikacin,826,1079,65.285,https://card.mcmaster.ca/ontology/39823,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2348,1504,Mycobacterium abscessus,36809,146
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,3f6909a8-8e29-4cc9-854c-d395633f805e,highQuality-reads100_batch5_57.fastq,none,69.08,76.89,protein variant model,Escherichia coli rpoB mutants conferring resistance to rifampicin,357,4017,90.819,https://card.mcmaster.ca/ontology/39872,antibiotic resistant gene variant or mutant. rifampin resistance gene,2261,4030,Escherichia coli O157:H7 str. Sakai,386585,2
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,a84d3398-1f81-456a-bb8a-37c2d881d3a9,highQuality-reads100_batch5_57.fastq,none,75.88,82.43,rRNA mutation model,Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to viomycin,1200,1527,56.597,https://card.mcmaster.ca/ontology/40149,antibiotic resistant gene variant or mutant. peptide antibiotic resistance gene,2338,1528,Mycobacterium smegmatis str. MC2 155,246196,146
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,94329047-7400-4657-ad6a-81818a186b99,highQuality-reads100_batch5_57.fastq,none,93.41,93.98,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to tobramycin,1294,1461,61.255,https://card.mcmaster.ca/ontology/39992,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2349,1542,Escherichia coli K-12,83333,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,999fd18d-3317-4b88-8c11-fa2ccdbaf423,highQuality-reads100_batch5_57.fastq,none,76.93,80.31,protein homolog model,efpA,4,1479,92.593,https://card.mcmaster.ca/ontology/40726,efflux pump conferring antibiotic resistance,0608,1593,Mycobacterium tuberculosis H37Rv,83332,136
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,07f4a5f6-48d0-4201-854d-db5f4840ca71,highQuality-reads100_batch5_57.fastq,none,79.22,84.92,rRNA mutation model,Neisseria gonorrhoeae 16S rRNA mutation conferring resistance to spectinomycin,1090,1544,65.23,https://card.mcmaster.ca/ontology/40097,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2323,1545,Neisseria gonorrhoeae,485,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,d691bdb8-080c-4677-8d18-8700f34ef2ea,highQuality-reads100_batch5_57.fastq,none,71.99,78.11,protein variant model,Enteroccocus faecium EF-Tu mutants conferring resistance to GE2270A,83,1244,91.274,https://card.mcmaster.ca/ontology/40022,elfamycin resistance gene. antibiotic resistant gene variant or mutant,2260,1272,Enterococcus faecium DO,333849,220
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,cbba3c62-b3ba-40e3-ba20-e7a31d43f82f,highQuality-reads100_batch5_57.fastq,none,94.71,98.23,protein homolog model,aadA24,143,780,93.155,https://card.mcmaster.ca/ontology/39021,aminoglycoside resistance gene. antibiotic inactivation enzyme,2152,780,Salmonella enterica subsp. enterica serovar Newport,108619,387
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,d62d37d8-d81c-4e0e-a0ff-f54e380a333a,highQuality-reads100_batch5_57.fastq,none,72.55,81.86,rRNA mutation model,Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline,113,1261,76.482,https://card.mcmaster.ca/ontology/40112,tetracycline resistance gene. antibiotic resistant gene variant or mutant,2355,1501,Helicobacter pylori 26695,85962,153
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,f758d58c-3f09-45a2-8283-418ffdb61010,highQuality-reads100_batch5_57.fastq,none,85,86.93,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrnB gene conferring resistance to tetracycline,1168,1346,96.739,https://card.mcmaster.ca/ontology/39995,tetracycline resistance gene. antibiotic resistant gene variant or mutant,2341,1542,Escherichia coli K-12,83333,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,d102777b-b7b6-4db6-9147-a50c543ec9d7,highQuality-reads100_batch5_57.fastq,none,78.06,84.45,rRNA mutation model,Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin,6,774,90.996,https://card.mcmaster.ca/ontology/40099,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2343,1544,Neisseria meningitidis,487,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,09f752ed-75de-4417-a12f-62721820f64a,highQuality-reads100_batch5_57.fastq,none,72.36,80.3,protein variant model,Neisseria gonorrhoeae gyrA conferring resistance to fluoroquinolones,1797,2225,44.468,https://card.mcmaster.ca/ontology/40637,fluoroquinolone resistance gene. antibiotic resistant gene variant or mutant,2194,2751,Neisseria gonorrhoeae FA 1090,242231,48
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,e516ddbd-57a5-47af-9488-2ea2ad30e9a4,highQuality-reads100_batch5_57.fastq,none,82.26,86.99,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin,1056,1542,75.314,https://card.mcmaster.ca/ontology/39987,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2356,1542,Escherichia coli K-12,83333,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,af3d9899-f8ad-4be2-85a1-4a6104786e0a,highQuality-reads100_batch5_57.fastq,none,69.91,79.13,rRNA mutation model,Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline,134,1307,78.148,https://card.mcmaster.ca/ontology/40112,tetracycline resistance gene. antibiotic resistant gene variant or mutant,2355,1501,Helicobacter pylori 26695,85962,153
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,49169685-bac4-4755-b1f6-6a14c6fa522d,highQuality-reads100_batch5_57.fastq,none,81.19,88.44,rRNA mutation model,Neisseria gonorrhoeae 16S rRNA mutation conferring resistance to spectinomycin,0,1541,99.741,https://card.mcmaster.ca/ontology/40097,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2323,1545,Neisseria gonorrhoeae,485,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,b5c1e831-a850-4952-9502-09818f80528f,highQuality-reads100_batch5_38.fastq,none,88.45,91.74,rRNA mutation model,Salmonella enterica serovar Typhimurium 16S rRNA mutation in the rrsD gene conferring resistance to spectinomycin,802,1544,67.989,https://card.mcmaster.ca/ontology/40114,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2340,1544,Salmonella enterica subsp. salamae,59202,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,10555a32-e3c7-4085-a497-21a4e985e32d,highQuality-reads100_batch5_38.fastq,none,92.02,97.03,rRNA mutation model,Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to neomycin,1122,1328,97.209,https://card.mcmaster.ca/ontology/40146,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2331,1528,Mycobacterium smegmatis str. MC2 155,246196,146
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,d685d20d-e53e-4391-8a46-b8ee785f330c,highQuality-reads100_batch5_38.fastq,none,74.96,85.76,rRNA mutation model,Salmonella enterica serovar Typhimurium 16S rRNA mutation in the rrsD gene conferring resistance to spectinomycin,125,750,95.859,https://card.mcmaster.ca/ontology/40114,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2340,1544,Salmonella enterica subsp. salamae,59202,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,2679d1ef-cf3d-4433-b53c-99ed772f52b8,highQuality-reads100_batch5_38.fastq,none,83.62,98.98,protein homolog model,OXA-347,229,431,100,https://card.mcmaster.ca/ontology/38177,beta-lactam resistance gene. antibiotic inactivation enzyme,1282,826,uncultured bacterium,77133,522
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,fca82489-0013-4533-adbf-ee630aa1fc6b,highQuality-reads100_batch5_38.fastq,none,86.23,90.85,rRNA mutation model,Neisseria gonorrhoeae 16S rRNA mutation conferring resistance to spectinomycin,299,625,95.308,https://card.mcmaster.ca/ontology/40097,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2323,1545,Neisseria gonorrhoeae,485,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,b63eb4b0-b6e1-48fa-98ba-b456943df1fb,highQuality-reads100_batch5_38.fastq,none,80.2,87.29,rRNA mutation model,Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline,572,759,75.794,https://card.mcmaster.ca/ontology/40112,tetracycline resistance gene. antibiotic resistant gene variant or mutant,2355,1501,Helicobacter pylori 26695,85962,153
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,170f7194-c938-42a0-ab4c-1678550a8b40,highQuality-reads100_batch5_38.fastq,none,89.05,95.09,rRNA mutation model,Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin,310,589,23.371,https://card.mcmaster.ca/ontology/40099,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2343,1544,Neisseria meningitidis,487,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,6a554fd0-17ff-4daf-93c5-4c5c022e33c3,highQuality-reads100_batch5_38.fastq,none,81.56,85.07,protein wild type model,antibiotic sensitive embB,1330,1782,90.381,https://card.mcmaster.ca/ontology/37145,,2297,3198,Mycobacterium avium,1764,19
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,0d2b1990-7983-4f97-8bf7-49a830839266,highQuality-reads100_batch5_38.fastq,none,88.51,93.57,rRNA mutation model,Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline,565,712,99.296,https://card.mcmaster.ca/ontology/40112,tetracycline resistance gene. antibiotic resistant gene variant or mutant,2355,1501,Helicobacter pylori 26695,85962,153
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,fa326784-5d85-4b2b-a8ed-a7e2bab8785e,highQuality-reads100_batch5_38.fastq,none,76.02,83.97,rRNA mutation model,Neisseria gonorrhoeae 16S rRNA mutation conferring resistance to spectinomycin,1043,1543,33.94,https://card.mcmaster.ca/ontology/40097,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2323,1545,Neisseria gonorrhoeae,485,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,3a943e4c-dfd3-4379-9eff-7ed454603a60,highQuality-reads100_batch5_38.fastq,none,78.28,89.37,protein variant model,Mycobacterium tuberculosis inhA mutations conferring resistance to isoniazid,400,791,87.583,https://card.mcmaster.ca/ontology/39977,isoniazid resistance gene. antibiotic resistant gene variant or mutant,2222,811,Mycobacterium tuberculosis H37Rv,83332,544
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,ab1b1a28-3b28-4d4d-96cb-a8186516eeb6,highQuality-reads100_batch5_38.fastq,none,72.89,83.33,rRNA mutation model,Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin,292,1544,81.088,https://card.mcmaster.ca/ontology/40099,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2343,1544,Neisseria meningitidis,487,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,0d988b66-234c-4fd5-9f6c-3c635b73d576,highQuality-reads100_batch5_38.fastq,none,89.89,92.98,rRNA mutation model,Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin,727,1440,100,https://card.mcmaster.ca/ontology/40099,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2343,1544,Neisseria meningitidis,487,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,a3654189-eaf5-4de6-9678-b70c607ac8c6,highQuality-reads100_batch5_38.fastq,none,83.55,89.77,rRNA mutation model,Neisseria gonorrhoeae 16S rRNA mutation conferring resistance to spectinomycin,1304,1527,82.288,https://card.mcmaster.ca/ontology/40097,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2323,1545,Neisseria gonorrhoeae,485,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,fe9fcdbc-f83e-4d94-80cc-e751bda7f1d9,highQuality-reads100_batch5_38.fastq,none,71.78,79.67,rRNA mutation model,Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin,0,391,39.979,https://card.mcmaster.ca/ontology/39820,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2345,1504,Mycobacterium abscessus,36809,146
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,2a2c4aa7-9451-47d4-8c0c-5b40d3f672ba,highQuality-reads100_batch5_38.fastq,none,86.9,93.59,rRNA mutation model,Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin,673,838,93.529,https://card.mcmaster.ca/ontology/40099,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2343,1544,Neisseria meningitidis,487,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,1a71f952-2462-4963-9b46-83d19c4067fb,highQuality-reads100_batch5_38.fastq,none,78.45,83.64,rRNA mutation model,Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin,1035,1537,34.856,https://card.mcmaster.ca/ontology/40021,antibiotic resistant gene variant or mutant. peptide antibiotic resistance gene,2318,1537,Mycobacterium tuberculosis H37Rv,83332,146
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,2fba670c-0397-46fb-a14b-20bc9ec1b357,highQuality-reads100_batch5_38.fastq,none,74.47,80.04,protein variant model,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,1532,2716,42.713,https://card.mcmaster.ca/ontology/40319,fluoroquinolone resistance gene. antibiotic resistant gene variant or mutant,2257,2772,Pseudomonas aeruginosa PAO1,208964,47
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,4ff4da67-9cd8-42f9-a026-54304e2aec8b,highQuality-reads100_batch5_38.fastq,none,87.19,91.57,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin,494,1133,98.428,https://card.mcmaster.ca/ontology/39956,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2324,1542,Escherichia coli K-12,83333,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,770dd5ec-ea72-4375-acf9-666dafe01f30,highQuality-reads100_batch5_38.fastq,none,83.14,87.6,rRNA mutation model,Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline,111,356,80,https://card.mcmaster.ca/ontology/40112,tetracycline resistance gene. antibiotic resistant gene variant or mutant,2355,1501,Helicobacter pylori 26695,85962,153
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,c692985e-2779-4fa1-95b0-31d5e4656a64,highQuality-reads100_batch5_38.fastq,none,71.31,80.4,rRNA mutation model,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,506,1409,59.92,https://card.mcmaster.ca/ontology/40087,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2325,1507,Chlamydia psittaci 6BC,331636,152
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,548496f3-8ff0-4cd5-bc25-10d5cb009de7,highQuality-reads100_batch5_38.fastq,none,79.4,86.38,rRNA mutation model,Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin,7,614,41.944,https://card.mcmaster.ca/ontology/40099,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2343,1544,Neisseria meningitidis,487,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,a69b6f5b-8f79-4231-bc68-07b5dc0364d1,highQuality-reads100_batch5_38.fastq,none,74.88,84.36,rRNA mutation model,Salmonella enterica serovar Typhimurium 16S rRNA mutation in the rrsD gene conferring resistance to spectinomycin,931,1539,39.378,https://card.mcmaster.ca/ontology/40114,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2340,1544,Salmonella enterica subsp. salamae,59202,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,2e4701c7-2019-4e36-8773-68c11f2e6b6e,highQuality-reads100_batch5_38.fastq,none,83.62,90.61,rRNA mutation model,Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin,907,1419,84.132,https://card.mcmaster.ca/ontology/40099,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2343,1544,Neisseria meningitidis,487,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,ed42d4f0-00f7-4904-91bb-a0689c5d8ee1,highQuality-reads100_batch5_38.fastq,none,73.16,81.25,protein variant model,Staphylococcus aureus rpoC conferring resistance to daptomycin,729,1383,18.041,https://card.mcmaster.ca/ontology/39875,lipopeptide antibiotic resistance gene. antibiotic resistant gene variant or mutant,2196,3625,Staphylococcus aureus subsp. aureus MRSA252,282458,5
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,bcc5a11e-b0ff-4e61-9516-9967e31b72a0,highQuality-reads100_batch5_38.fastq,none,84.81,90.91,rRNA mutation model,Salmonella enterica serovar Typhimurium 16S rRNA mutation in the rrsD gene conferring resistance to spectinomycin,359,636,99.265,https://card.mcmaster.ca/ontology/40114,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2340,1544,Salmonella enterica subsp. salamae,59202,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,077dc01b-0cb6-4a24-9caa-d133b0db5942,highQuality-reads100_batch5_38.fastq,none,85.68,90.83,rRNA mutation model,Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin,853,1214,38.745,https://card.mcmaster.ca/ontology/40099,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2343,1544,Neisseria meningitidis,487,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,0c98a9e2-fee2-4fae-bcdc-b4ee34d23432,highQuality-reads100_batch5_38.fastq,none,73.82,81.49,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to G418,935,1542,39.882,https://card.mcmaster.ca/ontology/39981,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2310,1542,Escherichia coli K-12,83333,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,89e67a49-e44f-4917-af83-355e6a025725,highQuality-reads100_batch5_38.fastq,none,70.84,77.34,protein variant model,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,640,1177,43.659,https://card.mcmaster.ca/ontology/39953,elfamycin resistance gene. antibiotic resistant gene variant or mutant,2259,1230,Escherichia coli CFT073,199310,242
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,f2996ada-2f32-42bc-ad6b-f4d6790d78d3,highQuality-reads100_batch5_38.fastq,none,74.77,81.91,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to tobramycin,1175,1382,13.424,https://card.mcmaster.ca/ontology/39992,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2349,1542,Escherichia coli K-12,83333,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,c695e7fa-2cd0-4bdb-bfbc-f082a1a0fabf,highQuality-reads100_batch5_38.fastq,none,83.81,92.52,protein homolog model,tetQ,0,753,38.146,https://card.mcmaster.ca/ontology/36330,tetracycline resistance gene. antibiotic target protection protein,1873,1974,Bacteroides fragilis,817,96
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,19c49309-f919-4f56-8c1e-d691820b323c,highQuality-reads100_batch5_7.fastq,none,83.19,88.63,rRNA mutation model,Neisseria gonorrhoeae 16S rRNA mutation conferring resistance to spectinomycin,273,1307,97.699,https://card.mcmaster.ca/ontology/40097,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2323,1545,Neisseria gonorrhoeae,485,141
